model, data, config_name, application_name, search, restart, round, rounds, limit_s, duration_s, obj, init_time_s, solve_time_s, solutions, variables, propagators, propagations, nodes, failures, restarts, peak_depth, num_solutions
"prepare_modded",      "prepare1", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,     0,   30,    0,   0.00,    2,   71,   78,     1190,       28,       12,    0,    5,  1
"prepare_modded",      "prepare1", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,     0,   30,    0,   0.00,    2,   71,   78,      949,       42,        9,    0,   24,  1
"prepare_modded",     "prepare10", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,    31,  756,    0,  30.00,    5, 1226, 1441, 10972046,   425041,   212485,    0,   55,  1
"prepare_modded",     "prepare10", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,    31,  756,    0,  30.00,    5, 1226, 1441,  8222445,   427513,   213424,    0,  531,  1
"prepare_modded",     "prepare11", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,    31,  746,    0,  30.00,   11, 1226, 1441, 13180894,   375752,   187803,    0,   53,  1
"prepare_modded",     "prepare11", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,    31,  746,    0,  30.00,   11, 1226, 1441, 13301824,   359509,   179222,    0,  553,  1
"prepare_modded",     "prepare12", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,    30,  966,    0,  30.00,    4, 1226, 1441, 15496884,   236863,   118392,    0,   58,  1
"prepare_modded",     "prepare12", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,    30,  966,    0,  30.00,    4, 1226, 1441, 19722975,   207161,   103219,    0,  552,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   1,  10,   100,   100, 1232,    0, 100.00,   12, 12001, 2891,  3901647,   109367,    54512,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   2,  10,   100,   101, 1232,    0, 100.00,   12, 12001, 2891,  3900619,   109327,    54492,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   3,  10,   100,   100, 1232,    0, 100.00,   12, 12001, 2891,  3930943,   110205,    54931,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   4,  10,   100,   101, 1232,    0, 100.00,   12, 12001, 2891,  3893858,   109113,    54385,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   5,  10,   100,   101, 1232,    0, 100.00,   12, 12001, 2891,  3871804,   108499,    54078,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   6,  10,   100,   100, 1232,    0, 100.00,   12, 12001, 2891,  3921334,   109902,    54780,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   7,  10,   100,   101, 1232,    0, 100.00,   12, 12001, 2891,  3859067,   108171,    53914,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   8,  10,   100,   100, 1232,    0, 100.00,   12, 12001, 2891,  3884751,   108941,    54300,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_s", "application_1", "int_search(s, input_order, indomain_min)",  "restart_none",   1,   1,    30,    31, 1232,    0,  30.00,   12, 2451, 2891,  8999493,   258987,   129322,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_s", "application_2", "int_search(s, input_order, indomain_split)",  "restart_none",   1,   1,    30,    31, 1232,    0,  30.00,   12, 2451, 2891,  9078059,   261826,   129567,    0, 1226,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   1,  10,    30,    30, 3424,    0,  30.00, 1132, 2451, 2891, 24790940,   144096,    17110, 1134,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   2,  10,    30,    31, 3425,    0,  30.00, 1131, 2451, 2891, 24784898,   144066,    17108, 1133,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",   9,  10,   100,   101, 1232,    0, 100.00,   12, 12001, 2891,  3820741,   107142,    53400,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_both", "application_1", "seq_search([int_search(s,input_order,indomain_min),int_search(b,dom_w_deg,indomain_min)])",  "restart_none",  10,  10,   100,   101, 1232,    0, 100.00,   12, 12001, 2891,  3815359,   106931,    53294,    0,  105,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   3,  10,    30,    31, 3379,    0,  30.00, 1169, 2451, 2891, 25638126,   148906,    17690, 1171,  141,  1
"prepare_modded",     "prepare13", "config_searching_on_s_randomly", "application_1", "int_search(s, input_order, indomain_random)", "restart_luby(100)",   4,  10,    30,    30, 3382,    0,  30.00, 1166, 2451, 2891, 25575832,   148559,    17668, 1168,  141,  1
